Company,Record_ID,Snapshot_Month,Month_Name,Year,Quarter,Region,Country,Account_ID,Account_Name,Customer_Segment,Plan_Tier,Signup_Date,Account_Status,Seats_Licensed,MRR (Monthly Recurring Revenue),ARR (Annual Recurring Revenue),New_MRR (Monthly Recurring Revenue),Expansion_MRR (Monthly Recurring Revenue),Contraction_MRR (Monthly Recurring Revenue),Churned_MRR (Monthly Recurring Revenue),Net_MRR_Change (Monthly Recurring Revenue),CAC_USD (Customer Acquisition Cost),Marketing_Channel,Activation_Status,Days_to_Activation,Monthly_Logins,Feature_Adoption_Score,Support_Tickets,NPS_Score (Net Promoter Score),Churn_Reason
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802397,2024-04,Apr-2024,2024,Q2,LATAM,Mexico,ACC00231,SwiftWorks #0231,Enterprise,Professional,2024-04-01,Active,32,1230.0,14760.0,1230.0,0.0,0.0,0.0,1230.0,185.5,Organic Search,Activated,22.0,11.3,84.0,1,63.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800175,2024-05,May-2024,2024,Q2,LATAM,Mexico,ACC00016,GridGroup #0016,SMB,Starter,2024-05-01,Active,2,146.65,1759.8,146.65,0.0,0.0,0.0,146.65,628.41,Partner/Reseller,Activated,9.0,20.5,41.9,0,23.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800277,2024-05,May-2024,2024,Q2,APAC,Singapore,ACC00026,SwiftTechnologies #0026,Enterprise,Enterprise,2024-05-01,Active,129,6263.64,75163.68,6263.64,0.0,0.0,0.0,6263.64,785.3,Partner/Reseller,Activated,1.0,15.8,28.2,1,35.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800326,2024-05,May-2024,2024,Q2,LATAM,Mexico,ACC00029,PrimeGroup #0029,Mid-Market,Professional,2024-04-01,Active,14,739.31,8871.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,1.0,17.2,72.5,1,20.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800471,2024-05,May-2024,2024,Q2,LATAM,Mexico,ACC00040,VertexVentures #0040,SMB,Growth,2024-04-01,Active,6,310.47,3725.64,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,1.0,14.6,66.3,2,23.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800728,2024-05,May-2024,2024,Q2,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,5.8,41.0,0,-5.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800886,2024-05,May-2024,2024,Q2,APAC,Australia,ACC00081,ClearSystems #0081,SMB,Growth,2024-05-01,Active,25,482.81,5793.72,482.81,0.0,0.0,0.0,482.81,218.94,Organic Search,Not Activated,,0.3,45.4,2,32.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801349,2024-05,May-2024,2024,Q2,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,9.6,70.6,3,17.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801907,2024-05,May-2024,2024,Q2,North America,Canada,ACC00185,PrimeLabs #0185,SMB,Growth,2024-05-01,Active,3,201.64,2419.68,201.64,0.0,0.0,0.0,201.64,364.37,Organic Search,Activated,12.0,23.1,66.9,1,44.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802287,2024-05,May-2024,2024,Q2,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,34,1939.93,23279.16,0.0,0.0,0.0,0.0,0.0,0.0,Referral,Activated,3.0,19.7,68.3,2,25.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802398,2024-05,May-2024,2024,Q2,LATAM,Mexico,ACC00231,SwiftWorks #0231,Enterprise,Professional,2024-04-01,Active,32,1230.0,14760.0,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,22.0,26.0,74.4,1,61.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802679,2024-05,May-2024,2024,Q2,APAC,Australia,ACC00257,BrightDigital #0257,Mid-Market,Professional,2024-05-01,Active,43,1950.46,23405.52,1950.46,0.0,0.0,0.0,1950.46,2414.44,Outbound Sales,Activated,2.0,11.5,76.5,0,14.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800176,2024-06,Jun-2024,2024,Q2,LATAM,Mexico,ACC00016,GridGroup #0016,SMB,Starter,2024-05-01,Active,2,146.65,1759.8,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,9.0,13.4,75.3,1,33.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800278,2024-06,Jun-2024,2024,Q2,APAC,Singapore,ACC00026,SwiftTechnologies #0026,Enterprise,Enterprise,2024-05-01,Active,129,6263.64,75163.68,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,1.0,12.9,83.2,0,51.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800327,2024-06,Jun-2024,2024,Q2,LATAM,Mexico,ACC00029,PrimeGroup #0029,Mid-Market,Professional,2024-04-01,Active,14,739.31,8871.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,1.0,24.3,64.1,0,14.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800472,2024-06,Jun-2024,2024,Q2,LATAM,Mexico,ACC00040,VertexVentures #0040,SMB,Growth,2024-04-01,Churned (This Month),6,0.0,0.0,0.0,0.0,0.0,-310.47,-310.47,0.0,Organic Search,Activated,1.0,0.0,0.0,0,,Poor Support Experience
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800582,2024-06,Jun-2024,2024,Q2,APAC,Singapore,ACC00052,NorthGlobal #0052,SMB,Starter,2024-06-01,Active,2,107.94,1295.28,107.94,0.0,0.0,0.0,107.94,327.89,Organic Search,Activated,4.0,18.9,88.2,0,41.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800729,2024-06,Jun-2024,2024,Q2,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,0.0,9.1,1,23.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800887,2024-06,Jun-2024,2024,Q2,APAC,Australia,ACC00081,ClearSystems #0081,SMB,Growth,2024-05-01,Active,25,482.81,5793.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Not Activated,,11.6,60.5,4,12.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801350,2024-06,Jun-2024,2024,Q2,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,15.4,61.7,1,19.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801908,2024-06,Jun-2024,2024,Q2,North America,Canada,ACC00185,PrimeLabs #0185,SMB,Growth,2024-05-01,Active,3,201.64,2419.68,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,12.0,17.5,87.9,0,8.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802288,2024-06,Jun-2024,2024,Q2,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,34,1939.93,23279.16,0.0,0.0,0.0,0.0,0.0,0.0,Referral,Activated,3.0,10.2,54.3,0,54.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802310,2024-06,Jun-2024,2024,Q2,LATAM,Mexico,ACC00224,BrightWorks #0224,Mid-Market,Growth,2024-06-01,Active,15,349.24,4190.88,349.24,0.0,0.0,0.0,349.24,785.06,Partner/Reseller,Activated,2.0,21.8,63.3,5,20.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802399,2024-06,Jun-2024,2024,Q2,LATAM,Mexico,ACC00231,SwiftWorks #0231,Enterprise,Professional,2024-04-01,Active,71,1651.14,19813.68,0.0,421.14,0.0,0.0,421.14,0.0,Organic Search,Activated,22.0,22.8,69.1,1,27.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802563,2024-06,Jun-2024,2024,Q2,APAC,Singapore,ACC00245,OrbitTechnologies #0245,SMB,Starter,2024-06-01,Active,1,68.7,824.4,68.7,0.0,0.0,0.0,68.7,560.32,Paid Search/Ads,Activated,1.0,13.4,91.2,1,43.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802610,2024-06,Jun-2024,2024,Q2,APAC,India,ACC00249,CrestStudio #0249,Mid-Market,Professional,2024-06-01,Active,14,690.26,8283.12,690.26,0.0,0.0,0.0,690.26,539.75,Content/Inbound,Activated,4.0,14.2,75.3,2,23.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802641,2024-06,Jun-2024,2024,Q2,LATAM,Brazil,ACC00253,CrestGlobal #0253,SMB,Starter,2024-06-01,Active,1,91.07,1092.84,91.07,0.0,0.0,0.0,91.07,298.52,Organic Search,Not Activated,,1.8,43.2,5,9.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802680,2024-06,Jun-2024,2024,Q2,APAC,Australia,ACC00257,BrightDigital #0257,Mid-Market,Professional,2024-05-01,Active,63,2701.43,32417.16,0.0,750.97,0.0,0.0,750.97,0.0,Outbound Sales,Activated,2.0,11.9,77.7,2,60.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800177,2024-07,Jul-2024,2024,Q3,LATAM,Mexico,ACC00016,GridGroup #0016,SMB,Starter,2024-05-01,Active,2,146.65,1759.8,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,9.0,23.1,52.1,2,24.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800279,2024-07,Jul-2024,2024,Q3,APAC,Singapore,ACC00026,SwiftTechnologies #0026,Enterprise,Enterprise,2024-05-01,Active,129,6263.64,75163.68,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,1.0,18.2,90.3,3,32.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800328,2024-07,Jul-2024,2024,Q3,LATAM,Mexico,ACC00029,PrimeGroup #0029,Mid-Market,Professional,2024-04-01,Active,14,739.31,8871.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,1.0,14.3,79.6,3,61.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800583,2024-07,Jul-2024,2024,Q3,APAC,Singapore,ACC00052,NorthGlobal #0052,SMB,Starter,2024-06-01,Active,2,107.94,1295.28,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,4.0,17.3,86.0,1,28.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800644,2024-07,Jul-2024,2024,Q3,Europe,France,ACC00059,SwiftVentures #0059,SMB,Growth,2024-07-01,Active,4,262.1,3145.2,262.1,0.0,0.0,0.0,262.1,286.08,Content/Inbound,Activated,4.0,24.9,75.9,1,39.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800730,2024-07,Jul-2024,2024,Q3,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,6.9,5.8,2,2.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800888,2024-07,Jul-2024,2024,Q3,APAC,Australia,ACC00081,ClearSystems #0081,SMB,Growth,2024-05-01,Active,25,482.81,5793.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Not Activated,,1.7,35.5,2,9.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800928,2024-07,Jul-2024,2024,Q3,APAC,India,ACC00085,BoldNetworks #0085,Enterprise,Professional,2024-07-01,Active,56,856.79,10281.48,856.79,0.0,0.0,0.0,856.79,595.11,Paid Search/Ads,Activated,21.0,22.8,58.2,2,48.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801029,2024-07,Jul-2024,2024,Q3,APAC,India,ACC00092,GridDigital #0092,SMB,Starter,2024-07-01,Active,2,82.54,990.48,82.54,0.0,0.0,0.0,82.54,310.09,Partner/Reseller,Activated,1.0,27.8,84.7,0,79.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801351,2024-07,Jul-2024,2024,Q3,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,7.8,100.0,6,58.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801909,2024-07,Jul-2024,2024,Q3,North America,Canada,ACC00185,PrimeLabs #0185,SMB,Growth,2024-05-01,Active,17,287.63,3451.56,0.0,85.99,0.0,0.0,85.99,0.0,Organic Search,Activated,12.0,21.4,84.4,1,29.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802120,2024-07,Jul-2024,2024,Q3,Europe,France,ACC00206,BoldGroup #0206,Enterprise,Professional,2024-07-01,Active,66,1766.28,21195.36,1766.28,0.0,0.0,0.0,1766.28,247.3,Organic Search,Activated,4.0,17.3,69.3,1,33.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802289,2024-07,Jul-2024,2024,Q3,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,79,2227.26,26727.12,0.0,287.33,0.0,0.0,287.33,0.0,Referral,Activated,3.0,17.8,45.4,0,-4.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802311,2024-07,Jul-2024,2024,Q3,LATAM,Mexico,ACC00224,BrightWorks #0224,Mid-Market,Growth,2024-06-01,Active,15,349.24,4190.88,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,2.0,13.1,62.6,2,24.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802400,2024-07,Jul-2024,2024,Q3,LATAM,Mexico,ACC00231,SwiftWorks #0231,Enterprise,Professional,2024-04-01,Active,71,1865.94,22391.28,0.0,214.8,0.0,0.0,214.8,0.0,Organic Search,Activated,22.0,16.5,69.7,2,51.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802564,2024-07,Jul-2024,2024,Q3,APAC,Singapore,ACC00245,OrbitTechnologies #0245,SMB,Starter,2024-06-01,Active,1,68.7,824.4,0.0,0.0,0.0,0.0,0.0,0.0,Paid Search/Ads,Activated,1.0,20.9,70.1,0,24.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802611,2024-07,Jul-2024,2024,Q3,APAC,India,ACC00249,CrestStudio #0249,Mid-Market,Professional,2024-06-01,Active,23,832.11,9985.32,0.0,141.85,0.0,0.0,141.85,0.0,Content/Inbound,Activated,4.0,17.5,80.1,0,61.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802642,2024-07,Jul-2024,2024,Q3,LATAM,Brazil,ACC00253,CrestGlobal #0253,SMB,Starter,2024-06-01,Active,1,91.07,1092.84,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Not Activated,,4.5,1.0,4,-7.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802681,2024-07,Jul-2024,2024,Q3,APAC,Australia,ACC00257,BrightDigital #0257,Mid-Market,Professional,2024-05-01,Active,63,2701.43,32417.16,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Activated,2.0,19.3,28.3,0,34.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800104,2024-08,Aug-2024,2024,Q3,LATAM,Mexico,ACC00010,ClearStudio #0010,SMB,Starter,2024-08-01,Active,3,79.59,955.08,79.59,0.0,0.0,0.0,79.59,127.23,Referral,Activated,3.0,7.1,41.9,1,12.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800178,2024-08,Aug-2024,2024,Q3,LATAM,Mexico,ACC00016,GridGroup #0016,SMB,Starter,2024-05-01,Active,2,146.65,1759.8,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,9.0,13.3,53.6,1,34.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800280,2024-08,Aug-2024,2024,Q3,APAC,Singapore,ACC00026,SwiftTechnologies #0026,Enterprise,Enterprise,2024-05-01,Active,129,6263.64,75163.68,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,1.0,9.5,61.7,0,56.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800329,2024-08,Aug-2024,2024,Q3,LATAM,Mexico,ACC00029,PrimeGroup #0029,Mid-Market,Professional,2024-04-01,Active,14,739.31,8871.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,1.0,14.5,44.7,2,16.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800551,2024-08,Aug-2024,2024,Q3,North America,Canada,ACC00049,PrimeLabs #0049,Mid-Market,Professional,2024-08-01,Active,46,1917.56,23010.72,1917.56,0.0,0.0,0.0,1917.56,424.19,Content/Inbound,Activated,3.0,20.7,50.7,1,64.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800584,2024-08,Aug-2024,2024,Q3,APAC,Singapore,ACC00052,NorthGlobal #0052,SMB,Starter,2024-06-01,Active,5,146.08,1752.96,0.0,38.14,0.0,0.0,38.14,0.0,Organic Search,Activated,4.0,16.1,36.4,3,-2.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800645,2024-08,Aug-2024,2024,Q3,Europe,France,ACC00059,SwiftVentures #0059,SMB,Growth,2024-07-01,Active,4,196.5,2358.0,0.0,0.0,-65.6,0.0,-65.6,0.0,Content/Inbound,Activated,4.0,16.1,47.3,0,59.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800731,2024-08,Aug-2024,2024,Q3,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,7.3,10.6,4,-17.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800889,2024-08,Aug-2024,2024,Q3,APAC,Australia,ACC00081,ClearSystems #0081,SMB,Growth,2024-05-01,Active,25,482.81,5793.72,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Not Activated,,11.3,28.7,1,41.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800929,2024-08,Aug-2024,2024,Q3,APAC,India,ACC00085,BoldNetworks #0085,Enterprise,Professional,2024-07-01,Active,56,856.79,10281.48,0.0,0.0,0.0,0.0,0.0,0.0,Paid Search/Ads,Activated,21.0,20.0,75.6,0,23.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801030,2024-08,Aug-2024,2024,Q3,APAC,India,ACC00092,GridDigital #0092,SMB,Starter,2024-07-01,Active,3,110.3,1323.6,0.0,27.76,0.0,0.0,27.76,0.0,Partner/Reseller,Activated,1.0,22.0,88.7,1,41.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801352,2024-08,Aug-2024,2024,Q3,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,14.2,62.9,2,17.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801421,2024-08,Aug-2024,2024,Q3,North America,Canada,ACC00129,SwiftPartners #0129,Mid-Market,Growth,2024-08-01,Active,4,237.03,2844.36,237.03,0.0,0.0,0.0,237.03,83.58,Referral,Activated,14.0,31.2,77.6,1,18.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801483,2024-08,Aug-2024,2024,Q3,Europe,Germany,ACC00135,TrueGlobal #0135,SMB,Starter,2024-08-01,Active,1,83.7,1004.4,83.7,0.0,0.0,0.0,83.7,387.47,Organic Search,Activated,1.0,27.1,54.8,0,65.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801598,2024-08,Aug-2024,2024,Q3,Europe,France,ACC00150,BrightSolutions #0150,SMB,Growth,2024-08-01,Active,18,437.28,5247.36,437.28,0.0,0.0,0.0,437.28,1264.22,Outbound Sales,Activated,4.0,18.2,65.9,2,37.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801910,2024-08,Aug-2024,2024,Q3,North America,Canada,ACC00185,PrimeLabs #0185,SMB,Growth,2024-05-01,Active,17,287.63,3451.56,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,12.0,13.1,61.9,1,-18.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801978,2024-08,Aug-2024,2024,Q3,Europe,Germany,ACC00191,GridLabs #0191,Mid-Market,Growth,2024-08-01,Active,4,197.87,2374.44,197.87,0.0,0.0,0.0,197.87,133.88,Referral,Activated,3.0,15.5,83.0,0,22.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802121,2024-08,Aug-2024,2024,Q3,Europe,France,ACC00206,BoldGroup #0206,Enterprise,Professional,2024-07-01,Active,66,2420.12,29041.44,0.0,653.84,0.0,0.0,653.84,0.0,Organic Search,Activated,4.0,13.3,59.4,1,26.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802290,2024-08,Aug-2024,2024,Q3,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,79,2227.26,26727.12,0.0,0.0,0.0,0.0,0.0,0.0,Referral,Activated,3.0,17.2,68.8,1,-7.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802312,2024-08,Aug-2024,2024,Q3,LATAM,Mexico,ACC00224,BrightWorks #0224,Mid-Market,Growth,2024-06-01,Active,15,349.24,4190.88,0.0,0.0,0.0,0.0,0.0,0.0,Partner/Reseller,Activated,2.0,25.3,59.5,1,18.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802401,2024-08,Aug-2024,2024,Q3,LATAM,Mexico,ACC00231,SwiftWorks #0231,Enterprise,Professional,2024-04-01,Active,71,1865.94,22391.28,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Activated,22.0,13.1,85.6,2,18.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802565,2024-08,Aug-2024,2024,Q3,APAC,Singapore,ACC00245,OrbitTechnologies #0245,SMB,Starter,2024-06-01,Active,1,68.7,824.4,0.0,0.0,0.0,0.0,0.0,0.0,Paid Search/Ads,Activated,1.0,10.3,77.5,0,30.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802612,2024-08,Aug-2024,2024,Q3,APAC,India,ACC00249,CrestStudio #0249,Mid-Market,Professional,2024-06-01,Active,23,832.11,9985.32,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,16.0,69.0,0,32.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802627,2024-08,Aug-2024,2024,Q3,North America,USA,ACC00252,SparkVentures #0252,SMB,Growth,2024-08-01,Active,9,210.94,2531.28,210.94,0.0,0.0,0.0,210.94,307.68,Organic Search,Not Activated,,7.0,25.7,0,57.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802643,2024-08,Aug-2024,2024,Q3,LATAM,Brazil,ACC00253,CrestGlobal #0253,SMB,Starter,2024-06-01,Active,1,91.07,1092.84,0.0,0.0,0.0,0.0,0.0,0.0,Organic Search,Not Activated,,0.0,6.1,4,7.0,
